CUSTOMER_ID,CUSTOMER_NAME,LAST_ORDER_DATE,FREQUENCY,MONETARY_VALUE,RECENCY,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_TOTAL,SEGMENT
JJ-15760,Joel Jenkins,2014-12-29,28,18103.64,2193,5,5,5,15,Champions
MG-17875,Michael Grace,2014-12-26,33,14452.82,2196,5,5,5,15,Champions
DK-12985,Darren Koutras,2014-12-30,35,14823.97,2192,5,5,5,15,Champions
CL-12700,Craig Leslie,2014-12-23,31,17943.65,2199,5,5,5,15,Champions
PK-19075,Pete Kriz,2014-12-23,29,17668.91,2199,5,5,5,15,Champions
GD-14590,Giulietta Dortch,2014-12-26,29,18005,2196,5,5,5,15,Champions
SE-20110,Sanjit Engle,2014-12-22,36,29532.63,2200,5,5,5,15,Champions
DM-13345,Denise Monton,2014-12-29,27,17054.89,2193,5,5,5,15,Champions
TZ-21445,Tom Zandusky,2014-12-23,28,14601.67,2199,5,5,5,15,Champions
ZC-21910,Zuschuss Carroll,2014-12-28,37,28472.82,2194,5,5,5,15,Champions
ML-17755,Max Ludwig,2014-12-30,28,14425.1,2192,5,5,5,15,Champions
CL-12565,Clay Ludtke,2014-12-26,30,17008.14,2196,5,5,5,15,Champions
AH-10075,Adam Hart,2014-12-29,34,18109.86,2193,5,5,5,15,Champions
SV-20935,Susan Vittorini,2014-12-31,28,15197.69,2191,5,5,5,15,Champions
ME-17320,Maria Etezadi,2014-12-26,30,24527.03,2196,5,5,5,15,Champions
TS-21340,Toby Swindell,2014-12-23,31,16997.03,2199,5,5,5,15,Champions
SP-20920,Susan Pistek,2014-12-25,28,28124.21,2197,5,5,5,15,Champions
RF-19840,Roy Französisch,2014-12-25,31,15077.48,2197,5,5,5,15,Champions
BS-11755,Bruce Stewart,2014-12-30,29,17557.46,2192,5,5,5,15,Champions
GT-14710,Greg Tran,2014-12-23,30,34471.89,2199,5,5,5,15,Champions
KB-16315,Karl Braun,2014-12-29,29,14542.76,2193,5,5,5,15,Champions
RD-19480,Rick Duston,2014-12-31,27,16487.19,2191,5,5,5,15,Champions
HG-15025,Hunter Glantz,2014-12-25,29,14737.81,2197,5,5,5,15,Champions
JE-15715,Joe Elijah,2014-12-22,36,22275.27,2200,5,5,5,15,Champions
SP-20620,Stefania Perrino,2014-12-26,31,19113.67,2196,5,5,5,15,Champions
NF-18385,Natalie Fritzler,2014-12-24,32,28044.36,2198,5,5,5,15,Champions
DJ-13510,Don Jones,2014-12-25,31,15420.29,2197,5,5,5,15,Champions
DK-13090,Dave Kipp,2014-12-23,36,19178.64,2199,5,5,5,15,Champions
BP-11185,Ben Peterman,2014-12-30,28,15376.03,2192,5,5,5,15,Champions
JB-16000,Joy Bell-,2014-12-30,32,22127.18,2192,5,5,5,15,Champions
KM-16375,Katherine Murray,2014-12-29,28,16394.46,2193,5,5,5,15,Champions
MG-18205,Mitch Gastineau,2014-12-29,29,16362.9,2193,5,5,5,15,Champions
JG-15160,James Galang,2014-12-30,32,19963.41,2192,5,5,5,15,Champions
HJ-14875,Heather Jas,2014-12-26,32,14312.8,2196,5,5,5,15,Champions
JM-15655,Jim Mitchum,2014-12-23,34,16294.73,2199,5,5,5,15,Champions
BM-11785,Bryan Mills,2014-12-29,36,18446.85,2193,5,5,5,15,Champions
FM-14215,Filia McAdams,2014-12-24,31,14353.4,2198,5,5,5,15,Champions
DR-12880,Dan Reichenbach,2014-12-28,32,14415.34,2194,5,5,5,15,Champions
EM-13960,Eric Murdock,2014-12-29,37,25228.53,2193,5,5,5,15,Champions
EH-13765,Edward Hooks,2014-12-29,29,20259.92,2193,5,5,5,15,Champions
MC-17635,Matthew Clasen,2014-12-26,34,21113.51,2196,5,5,5,15,Champions
JD-15895,Jonathan Doherty,2014-12-25,32,16711.32,2197,5,5,5,15,Champions
JF-15190,Jamie Frazer,2014-12-25,28,17064.71,2197,5,5,5,15,Champions
MY-18295,Muhammed Yedwab,2014-12-31,29,25570.49,2191,5,5,5,15,Champions
BM-11140,Becky Martin,2014-12-23,29,25312.29,2199,5,5,5,15,Champions
RB-19465,Rick Bensley,2014-12-31,36,17178.44,2191,5,5,5,15,Champions
PO-18850,Patrick O'Brill,2014-12-27,41,25274.47,2195,5,5,5,15,Champions
PO-18865,Patrick O'Donnell,2014-12-31,35,21051.06,2191,5,5,5,15,Champions
VW-21775,Victoria Wilson,2014-12-25,30,15785.38,2197,5,5,5,15,Champions
MF-18250,Monica Federle,2014-12-24,32,20425.3,2198,5,5,5,15,Champions
MM-17920,Michael Moore,2014-12-24,33,20383.65,2198,5,5,5,15,Champions
CP-12340,Christine Phan,2014-12-23,30,20109.47,2199,5,5,5,15,Champions
AH-10210,Alan Hwang,2014-12-25,34,20365.74,2197,5,5,5,15,Champions
JK-16090,Juliana Krohn,2014-12-23,33,21918.74,2199,5,5,5,15,Champions
SC-20695,Steve Chapman,2014-12-22,35,21931.04,2200,5,5,5,15,Champions
MS-17365,Maribeth Schnelling,2014-12-26,34,20317.01,2196,5,5,5,15,Champions
JF-15565,Jill Fjeld,2014-12-30,29,19844.15,2192,5,5,5,15,Champions
AF-10870,Art Ferguson,2014-12-25,36,26487.26,2197,5,5,5,15,Champions
GZ-14470,Gary Zandusky,2014-12-24,35,20869.7,2198,5,5,5,15,Champions
JG-15805,John Grady,2014-12-31,37,22015.39,2191,5,5,5,15,Champions
KH-16690,Kristen Hastings,2014-12-29,39,18158.46,2193,5,5,5,15,Champions
LT-16765,Larry Tron,2014-12-25,30,17253.78,2197,5,5,5,15,Champions
MC-17845,Michael Chen,2014-12-30,31,14947.88,2192,5,5,5,15,Champions
HM-14860,Harry Marie,2014-12-30,37,27434.17,2192,5,5,5,15,Champions
AG-10330,Alex Grayson,2014-12-23,29,14534.51,2199,5,5,5,15,Champions
DM-13015,Darrin Martin,2014-12-26,30,15626.53,2196,5,5,5,15,Champions
TP-21130,Theone Pippenger,2014-12-29,37,22697.58,2193,5,5,5,15,Champions
FH-14365,Fred Hopkins,2014-12-30,30,27649.33,2192,5,5,5,15,Champions
JD-16150,Justin Deggeller,2014-12-31,28,18281.85,2191,5,5,5,15,Champions
AB-10015,Aaron Bergman,2014-12-15,32,20037.5,2207,4,5,5,14,Champions
MB-17305,Maria Bertelson,2014-12-30,27,16729.35,2192,5,4,5,14,Champions
PF-19225,Phillip Flathmann,2014-12-29,30,11915.2,2193,5,5,4,14,Champions
WB-21850,William Brown,2014-12-11,38,16704.66,2211,4,5,5,14,Champions
AM-10360,Alice McCarthy,2014-12-16,33,16730.33,2206,4,5,5,14,Champions
MV-18190,Mike Vittorini,2014-12-12,30,15577.04,2210,4,5,5,14,Champions
LP-17095,Liz Preis,2014-12-22,26,15598.15,2200,5,4,5,14,Champions
MM-17260,Magdelene Morse,2014-12-27,26,15713.72,2195,5,4,5,14,Champions
TT-21070,Ted Trevino,2014-12-17,31,15673.06,2205,4,5,5,14,Champions
FO-14305,Frank Olsen,2014-12-09,37,15614.22,2213,4,5,5,14,Champions
DK-12835,Damala Kotsonis,2014-12-10,32,17590.55,2212,4,5,5,14,Champions
SS-20140,Saphhira Shifley,2014-12-16,32,20138.6,2206,4,5,5,14,Champions
JA-15970,Joseph Airdo,2014-12-31,25,17105.47,2191,5,4,5,14,Champions
CC-12475,Cindy Chapman,2014-12-15,30,17159.8,2207,4,5,5,14,Champions
GM-14680,Greg Matthias,2014-12-30,31,12010.61,2192,5,5,4,14,Champions
SR-20740,Steven Roelle,2014-12-08,33,17220.18,2214,4,5,5,14,Champions
DW-13585,Dorothy Wardle,2014-12-26,37,12143.04,2196,5,5,4,14,Champions
TB-21250,Tim Brockman,2014-12-29,28,11830.09,2193,5,5,4,14,Champions
JH-15430,Jennifer Halladay,2014-12-26,31,11806.2,2196,5,5,4,14,Champions
AS-10285,Alejandro Savely,2014-12-13,30,16179.86,2209,4,5,5,14,Champions
MG-17695,Maureen Gnade,2014-12-31,25,16221.63,2191,5,4,5,14,Champions
PV-18985,Paul Van Hugh,2014-12-23,28,12540.66,2199,5,5,4,14,Champions
KA-16525,Kelly Andreada,2014-12-15,35,17449.9,2207,4,5,5,14,Champions
